日期,素材ID,素材名,消耗,展示数,点击数,转化成本,转化数,CTR,素材标签,封面链接,预览链接
2026-08-27,14228306994,CH-SC-广义新-10217740550325-新综合频道-箱包皮具-京喜拉新-剪辑-转化引导-箱包皮具-20260818-无-625-aigc-16,564.61,25044,976,94.10,6.00,3.90,平台一组AIGC|快手原创素材|快手非低质素材|腾讯首发素材,,
2026-08-27,14217050641,CH-SC-广义新-10136363822650-新综合频道-纸品-京喜拉新-剪辑-转化引导-纸品-20260813-无-625-aigc-8,558.87,106141,91315,0.69,809.96,86.03,平台一组AIGC|快手原创素材|快手非低质素材|腾讯首发素材,,
2026-08-27,13846398501,CH-SC-低活-10112643484929-超级抢购-手机通讯-无-剪辑-转化引导-手机通讯-20260708-无-625-aigc-3,557.05,30855,439,11.61,47.98,1.42,DHX扒起量0706|平台一组AIGC|心如|快手重复素材|快手非低质素材|福利价,,
2026-08-27,13846397896,CH-SC-低活-10112643484929-超级抢购-手机通讯-无-剪辑-转化引导-手机通讯-20260708-无-625-aigc-1,475.43,29349,418,59.43,8.00,1.42,DHX扒起量0706|平台一组AIGC|心如|快手重复素材|快手非低质素材|福利价|腾讯首发素材,,
2026-08-27,13881548030,CH-SC-广义新-10102020339908 -新综合频道-数码-京喜拉新-剪辑-转化引导-数码-20260715-无-625-5,432.10,21849,993,108.03,4.00,4.54,广义新头条|心如|快手重复素材|快手非低质素材|腾讯首发素材,,
2026-08-27,13939936830,CH-SC-广义新-10150604147722-新综合频道-箱包皮具-京喜拉新-剪辑-转化引导-箱包皮具-20260720-反向-625-4,326.37,57480,354,0.00,0.00,0.62,广义新头条|心如|快手重复素材|快手非低质素材,,
2026-08-27,13881544705,CH-SC-广义新-10102020339908 -新综合频道-数码-京喜拉新-剪辑-转化引导-数码-20260715-无-625-8,310.22,15302,748,51.70,6.00,4.89,广义新头条|心如|快手重复素材|快手非低质素材|腾讯首发素材,,
2026-08-27,14095147631,CH-SC-广义新-10120029474627 -新综合频道-生鲜-京喜拉新-剪辑-转化引导-生鲜-20260804-无-625-11,305.53,4218,1331,38.19,8.00,31.56,广义新头条|快手重复素材|快手非低质素材,,
2026-08-27,13846375083,CH-SC-低活-10112643484929-超级抢购-手机通讯-无-剪辑-转化引导-手机通讯-20260708-无-625-aigc-6,299.22,16084,431,11.08,27.01,2.68,DHX扒起量0706|平台一组AIGC|心如|快手重复素材|快手非低质素材|福利价,,
2026-08-27,14274409209,CH-SC-广义新-10136363822650-新综合频道-纸品-京喜拉新-剪辑-转化引导-纸品-20260804-无-625-aigc-4,268.64,5115,712,134.32,2.00,13.92,平台一组AIGC|快手重复素材|快手非低质素材,,
2026-08-27,13922151320,信息流-小牛-抽纸-京东主体-代运营-新人福利价-0721-100281253200-设计自选-625-aigc-3,265.65,4078,1762,24.15,11.00,43.21,平台一组AIGC|腾讯首发素材,,
2026-08-27,14238266885,信息流-小牛-打火机-三方主体-代运营-新人福利价-0820-10162692688878-内部实时跑量-625-7,254.41,34949,807,42.40,6.00,2.31,有米云素材混剪|福利价/无价格,,
2026-08-27,13873198936,CH-SC-低活-10140917922437-超级抢购-家庭清洁-无-剪辑-转化引导-家庭清洁-20260709-无-625-aigc-9,240.34,10817,799,16.02,15.00,7.39,平台一组AIGC|心如|快手重复素材|快手非低质素材|福利价|腾讯首发素材,,
2026-08-27,14274411325,CH-SC-广义新-10136363822650-新综合频道-纸品-京喜拉新-剪辑-转化引导-纸品-20260804-无-625-aigc-7,234.58,5149,376,234.58,1.00,7.30,平台一组AIGC|快手重复素材|快手非低质素材,,
2026-08-27,13836044901,CH-SC-低活-10118706992345-超级抢购-纸品-无-剪辑-转化引导-纸品-20260702-无-625-aigc-5,232.58,23347,6734,21.14,11.00,28.84,平台一组AIGC|心如|快手重复素材|快手非低质素材|福利价|腾讯首发素材,,
2026-08-27,14238352803,信息流-小牛-打火机-三方主体-代运营-新人福利价-0820-10162692688878-内部实时跑量-625-11,211.17,11625,500,35.20,6.00,4.30,有米云素材混剪|福利价/无价格|腾讯首发素材,,
2026-08-27,14120549920,CH-SC-低活-10118706992348-超级抢购-纸品-无-剪辑-转化引导-纸品-20260805-无-625-aigc-3,205.43,16066,3638,17.12,12.00,22.64,平台一组AIGC|快手重复素材|快手非低质素材|福利价,,
2026-08-27,13352554298,CH-SC-低活-10081585918372-超级抢购-家庭清洁纸品-无-剪辑-转化引导-家庭清洁纸品-20260521-无-625-11,199.86,66140,1477,33.31,6.00,2.23,快手重复素材|快手非低质素材|腾讯首发素材,,
2026-08-27,13536548555,CH-SC-低活-10219841541026-超级抢购加补-厨具-无-剪辑-转化引导-厨具-20260610-无-625-aigc-8,172.01,10142,262,12.29,14.00,2.58,平台一组AIGC|心如|福利价|腾讯首发素材,,
2026-08-27,14238399476,信息流-小牛-雨伞-三方主体-代运营-新人福利价-0820-10130866966155-内部实时跑量-625-17,169.13,10963,276,21.14,8.00,2.52,有米云素材混剪|福利价/无价格|腾讯首发素材,,
2026-08-27,13846397120,CH-SC-低活-10112643484929-超级抢购-手机通讯-无-剪辑-转化引导-手机通讯-20260708-无-625-aigc-2,165.87,9737,326,11.85,14.00,3.35,DHX扒起量0706|平台一组AIGC|心如|快手重复素材|快手非低质素材|福利价|腾讯首发素材,,
2026-08-27,13904992394,CH-SC-广义新-10136363822650-新综合频道-家庭清洁-京喜拉新-剪辑-转化引导-家庭清洁-20260717-反向-625-1,158.76,4764,681,52.92,3.00,14.29,广义新头条|心如|快手重复素材|快手非低质素材|腾讯首发素材,,
2026-08-27,14166703453,信息流-小牛-五香花生-三方主体-代运营-新人福利价-0814-10150360358365-大盘实时跑量-625-7,157.48,15264,578,52.49,3.00,3.79,福利价/无价格|考古加素材混剪,,
2026-08-27,13603383616,CH-SC-低活-10217740550325-超级抢购加补-箱包皮具-无-剪辑-转化引导-箱包皮具-20260617-无-625-aigc-5,150.47,16396,301,25.08,6.00,1.84,加补1分钱|平台一组AIGC|心如|快手重复素材|快手非低质素材|腾讯首发素材,,
2026-08-27,14095152614,CH-SC-广义新-10120029474627 -新综合频道-生鲜-京喜拉新-剪辑-转化引导-生鲜-20260804-无-625-18,149.63,1686,641,29.93,5.00,38.02,广义新头条|快手重复素材|快手非低质素材,,
2026-08-27,13096002959,荣耀-XN-社交-通用-美女-混剪-纯新AIGC-260416-625-4,135.75,2850,624,3.48,39.01,21.89,,,
2026-08-27,14238355260,信息流-小牛-打火机-三方主体-代运营-新人福利价-0820-10162692688878-内部实时跑量-625-1,133.58,6725,253,44.53,3.00,3.76,有米云素材混剪|福利价/无价格,,
2026-08-27,14299137656,CH-PRJ-采销项目-无-快手-无-无-剪辑-转化引导-无-260825-无-625-2,132.28,2265,1031,0.28,472.43,45.52,--,,
2026-08-27,14049386145,CH-SC-低活-10142433952187-超级抢购-厨具-无-剪辑-转化引导-厨具-20260727-无-625-aigc-9,111.30,16576,265,15.90,7.00,1.60,平台一组AIGC|心如|快手重复素材|快手非低质素材,,
2026-08-27,13939937564,CH-SC-广义新-10150604147722-新综合频道-箱包皮具-京喜拉新-剪辑-转化引导-箱包皮具-20260720-反向-625-6,104.52,16418,53,0.00,0.00,0.32,广义新头条|心如|快手原创素材|快手非低质素材,,
2026-08-27,14228306235,CH-SC-广义新-10217740550325-新综合频道-箱包皮具-京喜拉新-剪辑-转化引导-箱包皮具-20260818-无-625-aigc-17,97.72,5419,206,0.00,0.00,3.80,平台一组AIGC|快手原创素材|快手非低质素材,,
2026-08-27,14049391450,CH-SC-低活-10142433952187-超级抢购-厨具-无-剪辑-转化引导-厨具-20260727-无-625-aigc-1,96.06,13916,597,24.02,4.00,4.29,平台一组AIGC|心如|快手重复素材|快手非低质素材,,
2026-08-27,13040038827,荣耀-XN-社交-通用-美女-混剪-纯新AIGC-260410-625-2,95.47,13392,566,2.08,45.90,4.23,,,
2026-08-27,14095149702,CH-SC-广义新-10120029474627 -新综合频道-生鲜-京喜拉新-剪辑-转化引导-生鲜-20260804-无-625-14,93.98,2153,899,0.00,0.00,41.76,广义新头条|快手重复素材|快手非低质素材,,
2026-08-27,14228314085,CH-SC-广义新-10217740550325-新综合频道-箱包皮具-京喜拉新-剪辑-转化引导-箱包皮具-20260818-无-625-aigc-13,93.63,18983,4503,0.00,0.00,23.72,平台一组AIGC|快手原创素材|快手非低质素材|腾讯首发素材,,
2026-08-27,13603383686,CH-SC-低活-10217740550325-超级抢购加补-箱包皮具-无-剪辑-转化引导-箱包皮具-20260617-无-625-aigc-6,85.13,8079,173,10.64,8.00,2.14,加补1分钱|平台一组AIGC|心如|快手重复素材|快手非低质素材|腾讯首发素材,,
2026-08-27,14095166951,CH-SC-广义新-10120029474627 -新综合频道-生鲜-京喜拉新-剪辑-转化引导-生鲜-20260804-无-625-3,82.70,639,244,41.35,2.00,38.18,广义新头条|快手重复素材|快手非低质素材,,
2026-08-27,14095163883,CH-SC-广义新-10120029474627 -新综合频道-生鲜-京喜拉新-剪辑-转化引导-生鲜-20260804-无-625-28,78.18,2629,605,0.00,0.00,23.01,广义新头条|快手重复素材|快手非低质素材,,
2026-08-27,14299137400,CH-PRJ-采销项目-无-快手-无-无-剪辑-转化引导-无-260825-无-625-5,77.87,1683,670,0.26,299.50,39.81,--,,
2026-08-27,14095155351,CH-SC-广义新-10120029474627 -新综合频道-生鲜-京喜拉新-剪辑-转化引导-生鲜-20260804-无-625-20,76.25,847,265,76.25,1.00,31.29,广义新头条|快手重复素材|快手非低质素材,,
2026-08-27,14050187057,CH-SC-广义新-10136363822650-新综合频道-纸品-京喜拉新-剪辑-转化引导-纸品-20260728-无-625-4,75.15,4238,735,0.00,0.00,17.34,广义新头条|心如|快手重复素材|快手非低质素材,,
2026-08-27,14095146835,CH-SC-广义新-10120029474627 -新综合频道-生鲜-京喜拉新-剪辑-转化引导-生鲜-20260804-无-625-12,66.83,803,306,33.42,2.00,38.11,广义新头条|快手重复素材|快手非低质素材,,
2026-08-27,14299135646,CH-PRJ-采销项目-无-快手-无-无-剪辑-转化引导-无-260825-无-625-7,63.17,1173,555,0.25,252.68,47.31,--,,
2026-08-27,14131425569,CH-SC-低活-10168329751492-超级抢购-生鲜-无-剪辑-转化引导-生鲜-20260807-无-625-3,59.77,29326,168,0.00,0.00,0.57,心如|快手原创素材|快手非低质素材,,
2026-08-27,13881547607,CH-SC-广义新-10102020339908 -新综合频道-数码-京喜拉新-剪辑-转化引导-数码-20260715-无-625-4,58.75,1287,84,0.00,0.00,6.53,广义新头条|心如|快手重复素材|快手非低质素材|腾讯首发素材,,
2026-08-27,13904991981,CH-SC-广义新-10136363822650-新综合频道-家庭清洁-京喜拉新-剪辑-转化引导-家庭清洁-202600602-反向-625-5,57.92,1302,140,0.00,0.00,10.75,广义新头条|心如|快手重复素材|快手非低质素材|腾讯首发素材,,
2026-08-27,14228326950,CH-SC-广义新-10217740550325-新综合频道-箱包皮具-京喜拉新-剪辑-转化引导-箱包皮具-20260818-无-625-aigc-8,57.09,4466,699,57.09,1.00,15.65,平台一组AIGC|快手原创素材|快手非低质素材,,
2026-08-27,14095158735,CH-SC-广义新-10120029474627 -新综合频道-生鲜-京喜拉新-剪辑-转化引导-生鲜-20260804-无-625-23,56.66,2365,630,0.00,0.00,26.64,广义新头条|快手重复素材|快手非低质素材,,
2026-08-27,14274413208,CH-SC-广义新-10136363822650-新综合频道-纸品-京喜拉新-剪辑-转化引导-纸品-20260804-无-625-aigc-10,54.44,2095,214,0.00,0.00,10.21,平台一组AIGC|快手重复素材|快手非低质素材,,
2026-08-27,14197502167,CH-SC-低活-10081585918372-超级抢购-纸品-无-剪辑-转化引导-纸品-20260803-无-625-aigc-16,51.44,2424,383,10.29,5.00,15.80,平台一组AIGC|心如|快手原创素材|快手重复素材|快手非低质素材|福利价|腾讯首发素材,,
2026-08-27,14266713072,信息流-小牛-大米-三方主体-代运营-新人1分钱-0824-100178504977-大盘扒改品-625-4,51.33,30042,610,25.67,2.00,2.03,大盘扒改,,
2026-08-27,13559845298,CH-PRJ-采销项目-10204138700158-快手安卓-外卖美食-无-剪辑-转化引导-外卖美食-20260612-无-625-1,51.29,757,472,0.21,244.24,62.35,快手重复素材|快手非低质素材,,
2026-08-27,13957178306,信息流-小牛-保温饭盒-三方主体-代运营-新人福利价-0724-10125420247464-大盘扒改-625-4,48.98,1627,105,48.98,1.00,6.45,大盘扒改|福利价/无价格,,
2026-08-27,13096010407,荣耀-XN-影音娱乐-通用-手势舞-混剪-260417-625-2,48.75,13164,744,2.57,18.97,5.65,,,
2026-08-27,14050220381,CH-SC-广义新-10187000434970-新综合频道-厨具-京喜拉新-剪辑-转化引导-厨具-20260730-无-625-12,47.93,1049,33,47.93,1.00,3.15,广义新头条|心如|快手原创素材|快手非低质素材|腾讯首发素材,,
2026-08-27,13341765349,CH-SC-广义新-10219841541026-新综合频道-厨具-京喜拉新-剪辑-转化引导-厨具-20260520-反向-625-7,47.23,3222,329,0.00,0.00,10.21,广义新头条|心如|快手重复素材|快手非低质素材|无价格|腾讯首发素材,,
2026-08-27,14092631035,信息流-小牛-西瓜-三方主体-代运营-新人福利价-0806-10215767576641-历史爆品-625-1,45.25,7852,247,0.00,0.00,3.15,头条/京东标点/有量素材混剪|福利价/无价格,,
2026-08-27,14095165379,CH-SC-广义新-10120029474627 -新综合频道-生鲜-京喜拉新-剪辑-转化引导-生鲜-20260804-无-625-26,45.11,1376,365,45.11,1.00,26.53,广义新头条|快手重复素材|快手非低质素材,,
2026-08-27,14095144957,CH-SC-广义新-10136363822650-新综合频道-纸品-京喜拉新-剪辑-转化引导-纸品-20260804-无-625-9,45.02,4015,474,0.00,0.00,11.81,广义新头条|快手重复素材|快手非低质素材|搬运打压素材,,
2026-08-27,14095132131,CH-SC-广义新-10136363822650-新综合频道-纸品-京喜拉新-剪辑-转化引导-纸品-20260804-无-625-12,43.97,806,86,43.97,1.00,10.67,平台一组AIGC|广义新头条|快手重复素材|快手非低质素材|腾讯首发素材,,
2026-08-27,14049370059,CH-SC-低活-10103917299332-超级抢购-厨具-无-剪辑-转化引导-厨具-20260727-无-625-aigc-12,43.81,5508,111,21.91,2.00,2.02,平台一组AIGC|心如|快手重复素材|快手非低质素材,,
2026-08-27,13836049721,CH-SC-低活-10156776256916-超级抢购-珠宝首饰-无-剪辑-转化引导-珠宝首饰-20260703-无-625-aigc-9,41.65,3018,61,10.41,4.00,2.02,平台一组AIGC|心如|快手重复素材|快手非低质素材|福利价,,
2026-08-27,14299138754,CH-PRJ-采销项目-无-快手-无-无-剪辑-转化引导-无-260825-无-625-1,40.44,637,312,0.24,168.50,48.98,--,,
2026-08-27,13559844692,CH-PRJ-采销项目-10204138700158-快手安卓-外卖美食-无-剪辑-转化引导-外卖美食-20260612-无-625-7,40.14,734,426,0.22,182.45,58.04,快手重复素材|快手非低质素材,,
2026-08-27,14238324933,信息流-小牛-打火机-三方主体-代运营-新人福利价-0820-10162692688878-内部实时跑量-625-26,39.22,2831,135,9.81,4.00,4.77,有米云素材混剪|福利价/无价格|腾讯首发素材,,
2026-08-27,14095157170,CH-SC-广义新-10120029474627 -新综合频道-生鲜-京喜拉新-剪辑-转化引导-生鲜-20260804-无-625-22,38.60,1123,125,38.60,1.00,11.13,广义新头条|快手重复素材|快手非低质素材,,
2026-08-27,14131428966,CH-SC-低活-10168329751492-超级抢购-生鲜-无-剪辑-转化引导-生鲜-20260807-无-625-6,38.40,5104,596,38.40,1.00,11.68,心如|快手重复素材|快手非低质素材,,
2026-08-27,14274408876,CH-SC-广义新-10136363822650-新综合频道-纸品-京喜拉新-剪辑-转化引导-纸品-20260804-无-625-aigc-3,38.28,1542,168,0.00,0.00,10.89,平台一组AIGC|快手重复素材|快手非低质素材,,
2026-08-27,14049387946,CH-SC-低活-10142433952187-超级抢购-厨具-无-剪辑-转化引导-厨具-20260727-无-625-aigc-10,38.17,5096,307,0.00,0.00,6.02,平台一组AIGC|心如|快手重复素材|快手非低质素材,,
2026-08-27,13873247401,CH-SC-低活-10217740550325-超级抢购-箱包皮具-无-剪辑-转化引导-箱包皮具-20260713-无-625-aigc-1,36.69,6834,527,18.35,2.00,7.71,平台一组AIGC|心如|快手重复素材|快手非低质素材|福利价|腾讯首发素材,,
2026-08-27,13536548377,CH-SC-低活-10219841541026-超级抢购加补-厨具-无-剪辑-转化引导-厨具-20260610-无-625-aigc-9,35.26,927,36,35.26,1.00,3.88,平台一组AIGC|心如|福利价|腾讯首发素材,,
2026-08-27,14095175578,CH-SC-广义新-10120029474627 -新综合频道-生鲜-京喜拉新-剪辑-转化引导-生鲜-20260804-无-625-6,33.82,1332,315,0.00,0.00,23.65,广义新头条|快手重复素材|快手非低质素材,,
2026-08-27,14247656476,信息流-小牛-旋转手机支架-三方主体-代运营-新人福利价-0821-10112643484929-内部实时跑量-625-4,32.23,17154,323,32.23,1.00,1.88,有米云素材混剪|福利价/无价格|腾讯首发素材,,
2026-08-27,14230159810,CH-SC-低活-962317-商超一类货-水饮冲调-大商超-剪辑-转化引导-水饮冲调-20260818-无-625-aigc-18,30.77,1620,225,30.77,1.00,13.89,平台一组AIGC|快手重复素材|快手非低质素材|腾讯首发素材,,
2026-08-27,14284740923,信息流-小牛-打火机-三方主体-代运营-新人福利价-260825-10162692688878-大盘扒改-625-1,30.49,1663,113,0.00,0.00,6.79,大盘扒改|福利价/无价格,,
2026-08-27,14274407648,CH-SC-广义新-10136363822650-新综合频道-纸品-京喜拉新-剪辑-转化引导-纸品-20260804-无-625-aigc-32,29.97,935,112,0.00,0.00,11.98,平台一组AIGC|快手重复素材|快手非低质素材,,
2026-08-27,14029064982,信息流-小牛-折叠椅-三方主体-代运营-新人福利价-0731-10183713190151-大盘扒改-625-1,29.62,2264,122,9.87,3.00,5.39,大盘扒改|福利价/无价格,,
2026-08-27,14247816775,CH-SC-低活-10120514417084-超级抢购-生鲜-无-剪辑-转化引导-生鲜-20260818-无-625-aigc-7,28.90,10719,221,28.90,1.00,2.06,平台一组AIGC|腾讯首发素材,,
2026-08-27,14095153837,CH-SC-广义新-10120029474627 -新综合频道-生鲜-京喜拉新-剪辑-转化引导-生鲜-20260804-无-625-19,28.16,378,144,9.39,3.00,38.10,广义新头条|快手重复素材|快手非低质素材,,
2026-08-27,14295222924,信息流-小牛-拼豆-三方主体-代运营-新人福利价-260826-10198153252023-商务选品-625-13,27.21,912,53,27.21,1.00,5.81,--,,
2026-08-27,14095144693,CH-SC-广义新-10120029474627 -新综合频道-生鲜-京喜拉新-剪辑-转化引导-生鲜-20260804-无-625-1,26.51,972,260,13.26,2.00,26.75,广义新头条|快手重复素材|快手非低质素材,,
2026-08-27,14049387477,CH-SC-低活-10142433952187-超级抢购-厨具-无-剪辑-转化引导-厨具-20260727-无-625-aigc-7,25.90,1167,95,25.90,1.00,8.14,平台一组AIGC|心如|快手重复素材|快手非低质素材,,
2026-08-27,14266713469,信息流-小牛-大米-三方主体-代运营-新人1分钱-0824-100178504977-大盘扒改品-625-3,25.68,9089,146,25.68,1.00,1.61,大盘扒改,,
2026-08-27,13881545653,CH-SC-广义新-10102020339908 -新综合频道-数码-京喜拉新-剪辑-转化引导-数码-20260715-无-625-1,25.59,663,40,0.00,0.00,6.03,广义新头条|心如|快手重复素材|快手非低质素材|腾讯首发素材,,
2026-08-27,13352554681,CH-SC-低活-10081585918372-超级抢购-家庭清洁纸品-无-剪辑-转化引导-家庭清洁纸品-20260521-无-625-13,25.20,2773,169,25.20,1.00,6.09,快手重复素材|快手非低质素材|腾讯首发素材,,
2026-08-27,14247817654,CH-SC-低活-10120514417084-超级抢购-生鲜-无-剪辑-转化引导-生鲜-20260818-无-625-aigc-8,23.83,20641,423,23.83,1.00,2.05,平台一组AIGC,,
2026-08-27,14197435272,CH-SC-低活-10199184867564-外卖1分购-外卖美食-无-剪辑-转化引导-外卖美食-20260810-无-625-13,22.44,614,67,0.00,0.00,10.91,心如|福利价,,
2026-08-27,13341768699,CH-SC-广义新-10219841541026-新综合频道-厨具-京喜拉新-剪辑-转化引导-厨具-20260520-反向-625-14,22.10,829,50,11.05,2.00,6.03,广义新头条|心如|快手重复素材|快手非低质素材|搬运打压素材|无价格|腾讯首发素材,,
2026-08-27,14299134117,CH-PRJ-采销项目-无-快手-无-无-剪辑-转化引导-无-260825-无-625-10,22.07,620,203,0.28,78.82,32.74,--,,
2026-08-27,14086782805,信息流-小牛-陶瓷碗-三方主体-代运营-新人福利价-0806-10129451028601-客户推品-625-1,21.68,2492,77,0.00,0.00,3.09,客供|福利价/无价格,,
2026-08-27,14230170889,CH-SC-低活-100218501679-商超一类货-水饮冲调-大商超-剪辑-转化引导-水饮冲调-20260818-无-625-aigc-33,21.64,1164,40,21.64,1.00,3.44,平台一组AIGC|快手重复素材|快手非低质素材|腾讯首发素材,,
2026-08-27,14088475054,CH-SC-低活-10223570717754-超级抢购-生鲜-无-剪辑-转化引导-生鲜-20260803-无-625-aigc-8,21.17,1005,32,21.17,1.00,3.18,平台一组AIGC|心如|福利价,,
2026-08-27,14247818441,CH-SC-低活-10120514417084-超级抢购-生鲜-无-剪辑-转化引导-生鲜-20260818-无-625-aigc-10,21.02,9188,185,0.00,0.00,2.01,平台一组AIGC,,
2026-08-27,14197434465,CH-SC-低活-10199184867564-外卖1分购-外卖美食-无-剪辑-转化引导-外卖美食-20260810-无-625-9,20.70,2118,158,0.00,0.00,7.46,心如|福利价,,
2026-08-27,13486882714,CH-SC-广义新-无-新10元话费券-10元话费券-京喜拉新-剪辑-转化引导-10元话费券-20260605-无-625-25,20.59,3993,1606,0.00,0.00,40.22,快手重复素材|快手非低质素材,,
2026-08-27,13145020145,荣耀-XN-影音娱乐-通用-风景-混剪-260424-625-8,20.58,3495,794,0.66,31.18,22.72,,,
2026-08-27,14299137824,CH-PRJ-采销项目-无-快手-无-无-剪辑-转化引导-无-260825-无-625-4,20.34,532,165,0.25,81.36,31.02,--,,
2026-08-27,14095147692,CH-SC-广义新-10120029474627 -新综合频道-生鲜-京喜拉新-剪辑-转化引导-生鲜-20260804-无-625-10,20.25,1753,142,0.00,0.00,8.10,广义新头条|快手重复素材|快手非低质素材,,
2026-08-27,13881544579,CH-SC-广义新-10102020339908 -新综合频道-数码-京喜拉新-剪辑-转化引导-数码-20260715-无-625-7,19.60,845,44,19.60,1.00,5.21,广义新头条|心如|快手重复素材|快手非低质素材|腾讯首发素材,,
2026-08-27,13603354275,CH-SC-广义新-10166301474829-新综合频道-厨具-京喜拉新-剪辑-转化引导-厨具-20260617-反向-625-aigc-20,19.26,3313,210,19.26,1.00,6.34,平台一组AIGC|快手原创素材|快手非低质素材|腾讯首发素材,,
2026-08-27,13881546157,CH-SC-广义新-10102020339908 -新综合频道-数码-京喜拉新-剪辑-转化引导-数码-20260715-无-625-10,18.80,623,44,18.80,1.00,7.06,广义新头条|心如|快手重复素材|快手非低质素材|腾讯首发素材,,
2026-08-27,13881545800,CH-SC-广义新-10102020339908 -新综合频道-数码-京喜拉新-剪辑-转化引导-数码-20260715-无-625-9,18.76,703,47,0.00,0.00,6.69,广义新头条|心如|快手重复素材|快手非低质素材|腾讯首发素材,,
2026-08-27,14217043087,CH-SC-广义新-10223294119383-新综合频道-粮油调味-京喜拉新-剪辑-转化引导-粮油调味-20260817-反向-625-跑量三段式-7,18.11,2643,1812,1.01,17.93,68.56,快手原创素材|快手非低质素材|无价格|腾讯首发素材|跑量三段式,,
2026-08-27,14299134385,CH-PRJ-采销项目-无-快手-无-无-剪辑-转化引导-无-260825-无-625-9,18.07,485,208,0.28,64.54,42.89,--,,
2026-08-27,13341769458,CH-SC-广义新-10219841541026-新综合频道-厨具-京喜拉新-剪辑-转化引导-厨具-20260520-反向-625-15,17.62,216,27,5.87,3.00,12.50,广义新头条|心如|快手重复素材|快手非低质素材|无价格|腾讯首发素材,,
2026-08-27,14095173071,CH-SC-广义新-10120029474627 -新综合频道-生鲜-京喜拉新-剪辑-转化引导-生鲜-20260804-无-625-4,17.35,571,109,0.00,0.00,19.09,广义新头条|快手重复素材|快手非低质素材,,
2026-08-27,13836045031,CH-SC-低活-10118706992345-超级抢购-纸品-无-剪辑-转化引导-纸品-20260702-无-625-aigc-3,17.22,2601,1056,0.00,0.00,40.60,平台一组AIGC|心如|快手重复素材|快手非低质素材|福利价|腾讯首发素材,,
2026-08-27,13559845061,CH-PRJ-采销项目-10204138700158-快手安卓-外卖美食-无-剪辑-转化引导-外卖美食-20260612-无-625-9,17.22,381,175,0.17,101.29,45.93,快手重复素材|快手非低质素材,,
